name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,brand,Kebutuhan_Tier,brand_encoded,target_encoded
AMD A10 PRO-7850B APU,148.02,95.0,2014-11-01,FM2+,Desktop,3700.0,4000.0,1,2,2,1648,19,AMD,Gaming,0,2
AMD A10-4600M APU,78.02,35.0,2012-04-01,FS1r2,Laptop,2300.0,3200.0,1,2,2,2305,1056,AMD,Casual / Office,0,0
AMD A10-5700 APU,59.95,65.0,2012-06-01,FM2,Desktop,3400.0,4000.0,1,2,2,1889,629,AMD,Gaming,0,2
AMD A10-5750M APU,94.02,35.0,2013-05-01,FS1r2,Laptop,2500.0,3500.0,1,4,1,2282,1035,AMD,Gaming,0,2
AMD A10-5800B APU,44.99,100.0,2013-07-01,FM2,Desktop,3800.0,4200.0,1,2,2,1823,36,AMD,Gaming,0,2
AMD A10-5800K APU,46.07,100.0,2012-10-01,FM2,Desktop,3800.0,4200.0,1,2,2,1812,1751,AMD,Gaming,0,2
AMD A10-6700 APU,39.59,65.0,2013-06-01,FM2,Desktop,3700.0,4300.0,1,4,1,1758,707,AMD,Gaming,0,2
AMD A10-6700T APU,147.61,45.0,2014-06-01,FM2,Desktop,2500.0,3500.0,1,2,2,2079,18,AMD,Gaming,0,2
AMD A10-6790K APU,36.72,100.0,2013-12-01,FM2,Desktop,4000.0,4300.0,1,2,2,1763,116,AMD,Gaming,0,2
AMD A10-6800B APU,128.02,100.0,2014-02-01,FM2,Desktop,4100.0,4400.0,1,2,2,1820,18,AMD,Gaming,0,2
AMD A10-6800K APU,53.99,100.0,2013-06-01,FM2,Desktop,4100.0,4400.0,1,2,2,1736,930,AMD,Gaming,0,2
AMD A10-7700K APU,32.81,95.0,2014-01-01,FM2+,Desktop,3400.0,3800.0,1,2,2,1744,597,AMD,Gaming,0,2
AMD A10-7800 APU,37.68,65.0,2014-06-01,FM2+,Desktop,3500.0,3900.0,1,2,2,1737,726,AMD,Gaming,0,2
AMD A10-7850K APU,56.05,95.0,2014-01-01,FM2+,Desktop,3700.0,4000.0,1,2,2,1665,1383,AMD,Gaming,0,2
AMD A10-7860K,57.17,65.0,2016-03-01,FM2+,Desktop,3600.0,4000.0,1,2,2,1678,430,AMD,Gaming,0,2
AMD A10-7870K,65.92,95.0,2015-06-01,FM2+,Desktop,3900.0,4100.0,1,2,2,1644,634,AMD,Gaming,0,2
AMD A10-7890K,139.97,95.0,2016-04-01,FM2+,Desktop,4100.0,4300.0,1,2,2,1628,247,AMD,Gaming,0,2
AMD A10-9700,66.86,65.0,2016-12-01,AM4,Desktop,3500.0,3800.0,1,4,1,1617,271,AMD,Gaming,0,2
AMD A10-9700E,91.5,35.0,2017-11-01,AM4,Desktop,3000.0,3500.0,1,4,1,1818,17,AMD,Gaming,0,2
AMD A12-9800,101.99,65.0,2016-10-01,AM4,Desktop,3800.0,4200.0,1,2,2,1622,141,AMD,Gaming,0,2
AMD A12-9800E,670.15,35.0,2017-09-01,AM4,Desktop,3100.0,3800.0,1,4,1,1640,25,AMD,Gaming,0,2
AMD A4-3300 APU,56.61,65.0,2011-11-01,FM1,Desktop,2500.0,0.0,1,2,1,3030,199,AMD,Casual / Office,0,0
AMD A4-3300M APU,29.99,65.0,2011-07-01,FM1,Laptop,1900.0,2500.0,1,2,1,3286,265,AMD,Casual / Office,0,0
AMD A4-3305M APU,20.81,35.0,2012-02-01,FS1,Laptop,1900.0,2500.0,1,2,1,3263,208,AMD,Casual / Office,0,0
AMD A4-3320M APU,39.0,35.0,2012-03-01,FS1,Laptop,2000.0,2600.0,1,2,1,3350,36,AMD,Casual / Office,0,0
AMD A4-3400 APU,20.0,65.0,2011-09-01,FM1,Desktop,2700.0,0.0,1,2,1,2908,297,AMD,Casual / Office,0,0
AMD A4-3420 APU,136.0,65.0,2012-01-01,FM1,Desktop,2800.0,0.0,1,2,1,2903,107,AMD,Casual / Office,0,0
AMD A4-4000 APU,19.91,65.0,2013-05-01,FM2,Desktop,3000.0,3200.0,1,1,2,2822,278,AMD,Casual / Office,0,0
AMD A4-4020 APU,105.37,65.0,2014-07-01,FM2,Desktop,3200.0,3400.0,1,2,1,2769,45,AMD,Casual / Office,0,0
AMD A4-4300M APU,29.86,35.0,2012-05-01,FS1,Laptop,2500.0,3000.0,1,1,2,2985,200,AMD,Casual / Office,0,0
AMD A4-5300 APU,26.95,65.0,2012-10-01,FM2,Desktop,3400.0,3700.0,1,2,1,2667,510,AMD,Gaming,0,2
AMD A4-5300B APU,25.95,65.0,2012-12-01,FM2,Desktop,3400.0,3700.0,1,2,1,2761,97,AMD,Gaming,0,2
AMD A4-6300 APU,42.02,65.0,2013-11-01,FM2,Desktop,3700.0,3900.0,1,1,2,2618,407,AMD,Gaming,0,2
AMD A4-6300B APU,27.95,65.0,2013-12-01,Unknown,Desktop,3700.0,3900.0,1,1,2,2691,15,AMD,Gaming,0,2
AMD A4-6320 APU,69.99,65.0,2014-04-01,FM2,Desktop,3800.0,4000.0,1,1,2,2545,34,AMD,Gaming,0,2
AMD A4-7300 APU,18.8,65.0,2014-09-01,FM2,Desktop,3800.0,4000.0,1,1,2,2578,205,AMD,Gaming,0,2
AMD A6-3400M APU,24.45,35.0,2011-06-01,FS1,Laptop,1400.0,2300.0,1,4,1,2796,661,AMD,Casual / Office,0,0
AMD A6-3410MX APU,3.99,45.0,2011-07-01,FS1,Laptop,1600.0,2300.0,1,4,1,2785,139,AMD,Casual / Office,0,0
AMD A6-3500 APU,74.93,65.0,2011-09-01,FM1,Desktop,2100.0,2400.0,1,3,1,2665,268,AMD,Casual / Office,0,0
AMD A6-3600 APU,24.95,65.0,2011-11-01,FM1,Desktop,2100.0,2400.0,1,4,1,2484,131,AMD,Casual / Office,0,0
AMD A6-3620 APU,22.49,65.0,2012-02-01,FM1,Desktop,2200.0,2500.0,1,4,1,2344,308,AMD,Casual / Office,0,0
AMD A6-3650 APU,128.0,100.0,2011-07-01,FM1,Desktop,2600.0,0.0,1,4,1,2251,318,AMD,Casual / Office,0,0
AMD A6-3670 APU,176.59,100.0,2012-01-01,FM1,Desktop,2700.0,0.0,1,4,1,2218,192,AMD,Casual / Office,0,0
AMD A6-4400M APU,27.0,35.0,2012-04-01,FS1r2,Laptop,2700.0,3200.0,1,1,2,2984,806,AMD,Casual / Office,0,0
AMD A6-5350M APU,33.12,35.0,2013-07-01,FS1r2,Laptop,2900.0,3500.0,1,2,1,2849,123,AMD,Gaming,0,2
AMD A6-5400B APU,28.94,65.0,2013-11-01,FM2,Desktop,3600.0,3800.0,1,1,2,2613,60,AMD,Gaming,0,2
AMD A6-5400K APU,52.02,65.0,2012-10-01,FM2,Desktop,3600.0,3800.0,1,1,2,2744,611,AMD,Gaming,0,2
AMD A6-6400K APU,51.72,65.0,2013-07-01,FM2,Desktop,3900.0,4100.0,1,1,2,2599,582,AMD,Gaming,0,2
AMD A6-6420K APU,149.99,65.0,2014-10-01,FM2,Desktop,4000.0,4200.0,1,2,1,2548,41,AMD,Gaming,0,2
AMD A6-7400K APU,29.99,65.0,2014-10-01,FM2+,Desktop,3500.0,3900.0,1,2,1,2507,312,AMD,Gaming,0,2
AMD A6-7470K,185.94,65.0,2016-05-01,FM2+,Desktop,3700.0,4000.0,1,1,2,2375,26,AMD,Gaming,0,2
AMD A6-7480,36.89,65.0,2019-04-01,FM2+,Desktop,3500.0,3800.0,1,2,1,2328,32,AMD,Gaming,0,2
AMD A6-9500,61.03,65.0,2016-12-01,AM4,Desktop,3500.0,3800.0,1,2,1,2334,64,AMD,Gaming,0,2
AMD A6-9500E,58.14,35.0,2018-10-01,AM4,Desktop,3000.0,3400.0,1,2,1,2446,3,AMD,Casual / Office,0,0
AMD A8-3500M APU,59.95,35.0,2011-07-01,FS1,Laptop,1500.0,2400.0,1,4,1,2620,255,AMD,Casual / Office,0,0
AMD A8-3510MX APU,77.11,45.0,2011-08-01,FS1,Laptop,1800.0,2500.0,1,4,1,2490,92,AMD,Casual / Office,0,0
AMD A8-3520M APU,55.0,35.0,2012-01-01,FS1,Laptop,1600.0,2500.0,1,4,1,2643,231,AMD,Casual / Office,0,0
AMD A8-3800 APU,109.95,65.0,2011-09-01,FM1,Desktop,2400.0,2700.0,1,4,1,2267,162,AMD,Casual / Office,0,0
AMD A8-3820 APU,44.95,65.0,2012-01-01,FM1,Desktop,2500.0,2800.0,1,4,1,2157,129,AMD,Casual / Office,0,0
AMD A8-3850 APU,68.02,100.0,2011-06-01,FM1,Desktop,2900.0,0.0,1,4,1,2074,486,AMD,Casual / Office,0,0
AMD A8-3870K APU,68.04,100.0,2011-12-01,FM1,Desktop,3000.0,0.0,1,4,1,2082,584,AMD,Gaming,0,2
AMD A8-4500M APU,56.21,35.0,2012-05-01,FS1r2,Laptop,1900.0,2800.0,1,2,2,2472,1667,AMD,Casual / Office,0,0
AMD A8-5500 APU,58.95,65.0,2012-06-01,FM2,Desktop,3200.0,3700.0,1,2,2,1965,912,AMD,Gaming,0,2
AMD A8-5500B APU,49.04,65.0,2013-03-01,FM2,Desktop,3200.0,3700.0,1,2,2,1927,94,AMD,Gaming,0,2
AMD A8-5600K APU,69.01,100.0,2012-10-01,FM2,Desktop,3600.0,3900.0,1,4,1,1863,1042,AMD,Gaming,0,2
AMD A8-6500 APU,30.8,65.0,2013-08-01,FM2,Desktop,3500.0,4100.0,1,2,2,1860,522,AMD,Gaming,0,2
AMD A8-6500B APU,49.95,65.0,2014-04-01,FM2,Desktop,3500.0,4100.0,1,2,2,1849,60,AMD,Gaming,0,2
AMD A8-6500T APU,59.95,45.0,2014-03-01,FM2,Desktop,2100.0,3100.0,1,2,2,2368,7,AMD,Casual / Office,0,0
AMD A8-6600K APU,22.25,100.0,2013-06-01,FM2,Desktop,3900.0,4200.0,1,2,2,1807,993,AMD,Gaming,0,2
AMD A8-7600 APU,31.13,65.0,2014-07-01,FM2+,Desktop,3100.0,3800.0,1,2,2,1721,1707,AMD,Gaming,0,2
AMD A8-7650K,38.18,65.0,2015-02-01,FM2+,Desktop,3300.0,3700.0,1,2,2,1769,386,AMD,Gaming,0,2
AMD A8-7670K,79.5,95.0,2015-09-01,FM2+,Desktop,3600.0,3900.0,1,4,1,1730,90,AMD,Gaming,0,2
AMD A8-7680,44.22,45.0,2019-01-01,FM2+,Laptop,3500.0,3800.0,1,4,1,1625,53,AMD,Gaming,0,2
AMD A8-9600,66.96,65.0,2017-04-01,AM4,Desktop,3100.0,3400.0,1,4,1,1692,248,AMD,Gaming,0,2
AMD Athlon 1640B,50.0,45.0,2009-05-01,AM2,Desktop,2700.0,0.0,1,1,1,3583,18,AMD,Casual / Office,0,0
AMD Athlon 200GE,123.89,35.0,2018-09-01,AM4,Desktop,3200.0,3200.0,1,2,2,1486,470,AMD,Casual / Office,0,0
AMD Athlon 220GE,129.0,35.0,2019-03-01,AM4,Laptop,3400.0,0.0,1,2,2,1426,21,AMD,Casual / Office,0,0
AMD Athlon 240GE,135.99,35.0,2019-01-01,AM4,Desktop,3500.0,0.0,1,2,2,1402,30,AMD,Casual / Office,0,0
AMD Athlon 2650e,19.0,15.0,2009-01-01,AM2,Desktop,1600.0,0.0,1,1,1,3766,77,AMD,Casual / Office,0,0
AMD Athlon 2800+,109.95,89.0,2009-03-01,754,Unknown,2133.0,0.0,1,1,1,3743,2,AMD,Casual / Office,0,0
AMD Athlon 3000G,89.99,35.0,2019-11-01,AM4,Desktop,3500.0,0.0,1,2,2,1414,328,AMD,Casual / Office,0,0
AMD Athlon 5000 Dual-Core,109.95,65.0,2009-10-01,"AM2,AM2+",Desktop,2200.0,0.0,1,2,1,3094,42,AMD,Casual / Office,0,0
AMD Athlon 5150 APU,98.86,25.0,2014-04-01,"AM1,FS1b",Desktop,1600.0,0.0,1,4,1,2650,184,AMD,Casual / Office,0,0
AMD Athlon 5200 Dual-Core,189.95,75.0,2010-12-01,AM2,Desktop,2700.0,0.0,1,2,1,3097,20,AMD,Casual / Office,0,0
AMD Athlon 5350 APU,149.99,25.0,2014-03-01,"AM1,FS1B",Desktop,2050.0,0.0,1,4,1,2412,634,AMD,Casual / Office,0,0
AMD Athlon 5370 APU,598.68,25.0,2016-04-01,"AM1,FS1B",Desktop,2200.0,0.0,1,4,1,2336,36,AMD,Casual / Office,0,0
AMD Athlon 64 2800+,99.99,89.0,2009-01-01,754,Unknown,1800.0,0.0,1,1,1,3732,29,AMD,Casual / Office,0,0
AMD Athlon 64 3000+,20.0,89.0,2008-12-01,Socket 754,Desktop,2000.0,0.0,1,1,1,3718,327,AMD,Casual / Office,0,0
AMD Athlon 64 3200+,149.95,62.0,2008-12-01,AM2,Unknown,2200.0,0.0,1,1,1,3721,413,AMD,Casual / Office,0,0
AMD Athlon 64 3400+,99.95,89.0,2009-01-01,754,Unknown,2400.0,0.0,1,1,1,3699,99,AMD,Casual / Office,0,0
AMD Athlon 64 3500+,79.95,45.0,2008-12-01,AM2,Unknown,2200.0,0.0,1,1,1,3607,386,AMD,Casual / Office,0,0
AMD Athlon 64 3700+,89.95,89.0,2008-12-01,939,Desktop,2200.0,0.0,1,1,1,3609,108,AMD,Casual / Office,0,0
AMD Athlon 64 3800+,131.01,45.0,2009-01-01,AM2,Unknown,2400.0,0.0,1,1,1,3738,235,AMD,Casual / Office,0,0
AMD Athlon 64 4000+,99.95,62.0,2008-12-01,AM2,Unknown,2600.0,0.0,1,1,1,3670,83,AMD,Casual / Office,0,0
AMD Athlon 64 FX-55,65.0,104.0,2009-02-01,939,Desktop,2600.0,0.0,1,1,1,3592,13,AMD,Casual / Office,0,0
AMD Athlon 64 FX-62 Dual Core,270.0,125.0,2009-02-01,AM2,Desktop,2800.0,0.0,1,2,1,3034,21,AMD,Casual / Office,0,0
AMD Athlon 64 FX-74,499.5,125.0,2009-03-01,F (1207),Desktop,3000.0,0.0,1,2,1,3007,2,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 3600+,68.25,65.0,2008-12-01,AM2,Desktop,2000.0,0.0,1,2,1,3424,174,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 4200+,109.95,89.0,2008-11-01,AM2,Desktop,2200.0,0.0,1,2,1,3308,1000,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 4400+,298.95,65.0,2008-12-01,AM2,Desktop,2300.0,0.0,1,2,1,3322,629,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 4600+,349.95,65.0,2008-12-01,AM2,Desktop,2400.0,0.0,1,2,1,3262,440,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 4800+,149.95,65.0,2008-11-01,AM2,Desktop,2500.0,0.0,1,2,1,3338,482,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 5000+,331.49,65.0,2008-12-01,AM2,Desktop,2600.0,0.0,1,2,1,3202,1132,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 5200+,60.0,65.0,2008-11-01,AM2,Desktop,2700.0,0.0,1,2,1,3132,899,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 5400+,52.99,65.0,2008-11-01,AM2,Desktop,2800.0,0.0,1,2,1,3070,210,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 5600+,107.21,89.0,2008-11-01,AM2,Desktop,2800.0,0.0,1,2,1,3064,460,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 5800+,29.95,89.0,2009-01-01,Unknown,Desktop,3000.0,0.0,1,2,1,3179,25,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 6000+,38.5,89.0,2008-11-01,AM2,Desktop,3000.0,0.0,1,2,1,3054,1055,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual Core 6400+,249.95,125.0,2008-11-01,AM2,Desktop,3200.0,0.0,1,2,1,3012,234,AMD,Casual / Office,0,0
AMD Athlon 64 X2 Dual-Core TK-55,72.74,35.0,2008-12-01,Unknown,Unknown,1800.0,0.0,1,2,1,3484,100,AMD,Casual / Office,0,0
AMD Athlon 64 X2 QL-65,22.0,35.0,2009-11-01,S1,Laptop,2100.0,0.0,1,2,1,3380,133,AMD,Casual / Office,0,0
AMD Athlon 7550 Dual-Core,14.95,95.0,2009-05-01,AM2+,Desktop,2500.0,0.0,1,2,1,3107,98,AMD,Casual / Office,0,0
AMD Athlon 7750 Dual-Core,79.99,95.0,2009-01-01,AM2+,Desktop,2700.0,0.0,1,2,1,3029,411,AMD,Casual / Office,0,0
AMD Athlon 7850 Dual-Core,99.99,95.0,2009-05-01,AM2+,Desktop,2800.0,0.0,1,2,1,2947,123,AMD,Casual / Office,0,0
